EQ5
PERFORM STRUCTURE SECTION RESULT TIME HISTORIES
Structure = DGB102IE_CP  (DGB102_Inelastic(CP))
Analysis Series = EQ4,5  (EQ4,5)
Load Case =, [3] = [1] + EQ5
Units =, kN, m
Column 1 =, time (sec)
Column, 2, = section no., 1, name =, B4F                                     
Column, 3, = section no., 2, name =, B3F                                     
Column, 4, = section no., 3, name =, B2F                                     
Column, 5, = section no., 4, name =, B1F                                     
Column, 6, = section no., 5, name =, 1F                                      
Column, 7, = section no., 6, name =, 2F                                      
Column, 8, = section no., 7, name =, PIT                                     
Column, 9, = section no., 8, name =, 3F                                      
Column, 10, = section no., 9, name =, 4F                                      
Column, 11, = section no., 10, name =, 5F                                      
Column, 12, = section no., 11, name =, 6F                                      
Column, 13, = section no., 12, name =, 7F                                      
Column, 14, = section no., 13, name =, 8F                                      
Column, 15, = section no., 14, name =, 9F                                      
Column, 16, = section no., 15, name =, 10F                                     
Column, 17, = section no., 16, name =, 11F                                     
Column, 18, = section no., 17, name =, 12F                                     
Column, 19, = section no., 18, name =, 13F                                     
Column, 20, = section no., 19, name =, 14F                                     
Column, 21, = section no., 20, name =, 15F                                     
Column, 22, = section no., 21, name =, 16F                                     
Column, 23, = section no., 22, name =, 17F                                     
Column, 24, = section no., 23, name =, 18F                                     
Column, 25, = section no., 24, name =, 19F                                     
Column, 26, = section no., 25, name =, 20F                                     
Column, 27, = section no., 26, name =, 21F                                     
Column, 28, = section no., 27, name =, 22F                                     
Column, 29, = section no., 28, name =, 23F                                     
Column, 30, = section no., 29, name =, 24F                                     
Column, 31, = section no., 30, name =, 25F                                     
Column, 32, = section no., 31, name =, 26F                                     
Column, 33, = section no., 32, name =, 27F                                     
Column, 34, = section no., 33, name =, 28F                                     
Column, 35, = section no., 34, name =, 29F                                     
Column, 36, = section no., 35, name =, 30F                                     
Column, 37, = section no., 36, name =, 31F                                     
Column, 38, = section no., 37, name =, 32F                                     
Column, 39, = section no., 38, name =, 33F                                     
Column, 40, = section no., 39, name =, 34F                                     
Column, 41, = section no., 40, name =, 35F                                     
Column, 42, = section no., 41, name =, 36F                                     
Column, 43, = section no., 42, name =, 37F                                     
Column, 44, = section no., 43, name =, 38F                                     
Column, 45, = section no., 44, name =, 39F                                     
Column, 46, = section no., 45, name =, 40F                                     
Column, 47, = section no., 46, name =, 41F                                     
Column, 48, = section no., 47, name =, 42F                                     
Column, 49, = section no., 48, name =, 43F                                     
Column, 50, = section no., 49, name =, 44F                                     
Column, 51, = section no., 50, name =, RF                                      
Column, 52, = section no., 51, name =, PH1F                                    
Column, 53, = section no., 52, name =, PH2F                                    
Column, 54, = section no., 53, name =, PH3F                                    
Column, 55, = section no., 54, name =, PH4F                                    
Maximum, 72039, 70184, 67395, 63645, 61465, 60914, 45369, 44638, 43384, 42554, 41839, 41014, 40552, 40171, 39548, 38707, 37809, 37008, 36071, 34959, 33947, 33142, 32501, 31671, 30551, 29379, 28709, 28106, 27410, 26588, 25527, 24157, 23033, 22296, 21376, 20281, 19403, 19107, 18703, 18427, 18046, 17643, 17135, 16332, 15254, 13885, 12007, 9627.7, 7040.4, 5055.2, 4571.5, 4126.3, 2903.1, 1502.9
Minimum,-97312,-92456,-86918,-80576,-72029,-72963,-58322,-57901,-57648,-56338,-54717,-52923,-51036,-49198,-47645,-45959,-44130,-42334,-40516,-38604,-36628,-34600,-33755,-33599,-33273,-32742,-31957,-30921,-30012,-29275,-28533,-27692,-26735,-25661,-24469,-23157,-22198,-21650,-21051,-20312,-19378,-18326,-17203,-15928,-14589,-13269,-11844,-10636,-9260.5,-7783.9,-6967,-5780.5,-3728.9,-1793.8
